Tarih;Saat;AOF (TL/MWh)
01.01.2022 00:00;00:00;938,82
01.01.2022 01:00;01:00;820,86
01.01.2022 02:00;02:00;918,48
01.01.2022 03:00;03:00;992,06
01.01.2022 04:00;04:00;788,67
01.01.2022 05:00;05:00;731,25
01.01.2022 06:00;06:00;909,14
01.01.2022 07:00;07:00;878,21
01.01.2022 08:00;08:00;923,10
01.01.2022 09:00;09:00;977,46
01.01.2022 10:00;10:00;1.022,02
01.01.2022 11:00;11:00;960,55
01.01.2022 12:00;12:00;812,94
01.01.2022 13:00;13:00;979,18
01.01.2022 14:00;14:00;1.035,96
01.01.2022 15:00;15:00;1.109,42
01.01.2022 16:00;16:00;1.301,71
01.01.2022 17:00;17:00;1.306,36
01.01.2022 18:00;18:00;1.328,39
01.01.2022 19:00;19:00;1.334,82
01.01.2022 20:00;20:00;1.338,56
01.01.2022 21:00;21:00;1.324,48
01.01.2022 22:00;22:00;1.031,46
01.01.2022 23:00;23:00;1.025,62
02.01.2022 00:00;00:00;1.009,07
02.01.2022 01:00;01:00;935,37
02.01.2022 02:00;02:00;921,55
02.01.2022 03:00;03:00;862,39
02.01.2022 04:00;04:00;891,06
02.01.2022 05:00;05:00;875,79
02.01.2022 06:00;06:00;845,58
02.01.2022 07:00;07:00;789,15
02.01.2022 08:00;08:00;834,18
02.01.2022 09:00;09:00;990,41
02.01.2022 10:00;10:00;1.188,47
02.01.2022 11:00;11:00;1.285,33
02.01.2022 12:00;12:00;1.112,37
02.01.2022 13:00;13:00;1.011,45
02.01.2022 14:00;14:00;994,28
02.01.2022 15:00;15:00;887,39
02.01.2022 16:00;16:00;1.021,39
02.01.2022 17:00;17:00;1.071,28
02.01.2022 18:00;18:00;1.172,37
02.01.2022 19:00;19:00;1.154,05
02.01.2022 20:00;20:00;1.154,38
02.01.2022 21:00;21:00;1.143,81
02.01.2022 22:00;22:00;952,36
02.01.2022 23:00;23:00;835,13
03.01.2022 00:00;00:00;1.005,06
03.01.2022 01:00;01:00;994,83
03.01.2022 02:00;02:00;991,70
03.01.2022 03:00;03:00;977,20
03.01.2022 04:00;04:00;949,14
03.01.2022 05:00;05:00;983,43
03.01.2022 06:00;06:00;1.036,69
03.01.2022 07:00;07:00;1.059,34
03.01.2022 08:00;08:00;1.354,63
03.01.2022 09:00;09:00;1.355,02
03.01.2022 10:00;10:00;1.328,41
03.01.2022 11:00;11:00;1.317,74
03.01.2022 12:00;12:00;1.144,38
03.01.2022 13:00;13:00;1.166,78
03.01.2022 14:00;14:00;1.302,50
03.01.2022 15:00;15:00;1.319,34
03.01.2022 16:00;16:00;1.341,55
03.01.2022 17:00;17:00;1.338,06
03.01.2022 18:00;18:00;1.315,33
03.01.2022 19:00;19:00;1.288,40
03.01.2022 20:00;20:00;1.284,98
03.01.2022 21:00;21:00;1.189,61
03.01.2022 22:00;22:00;952,16
03.01.2022 23:00;23:00;853,00
04.01.2022 00:00;00:00;1.004,16
04.01.2022 01:00;01:00;960,65
04.01.2022 02:00;02:00;949,96
04.01.2022 03:00;03:00;949,98
04.01.2022 04:00;04:00;928,48
04.01.2022 05:00;05:00;982,35
