epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.003,0,,,,,,
0,,1,,375.2976989746094,0.2289445847272873,496.7147216796875,0.1750374138355255,259.29962158203125
0,,1,730.95068359375,,,,,
,0.003,2,,,,,,
1,,3,,342.89666748046875,0.1836303025484085,413.403076171875,0.16679491102695465,210.02261352539062
1,,3,368.4097900390625,,,,,
,0.003,4,,,,,,
2,,5,,303.2511291503906,0.1731560379266739,378.7252502441406,0.14840483665466309,197.93785095214844
2,,5,312.048095703125,,,,,
,0.003,6,,,,,,
3,,7,,297.6395568847656,0.16518768668174744,368.6106872558594,0.14696422219276428,195.87234497070312
3,,7,284.74774169921875,,,,,
,0.003,8,,,,,,
4,,9,,379.80841064453125,0.1983073353767395,456.68853759765625,0.17753203213214874,207.98890686035156
4,,9,243.7416534423828,,,,,
,0.003,10,,,,,,
5,,11,,332.4043884277344,0.16963768005371094,394.4826965332031,0.16674062609672546,183.23345947265625
5,,11,210.21029663085938,,,,,
,0.003,12,,,,,,
6,,13,,373.3339538574219,0.18998025357723236,450.87353515625,0.17243975400924683,190.30516052246094
6,,13,199.83251953125,,,,,
,0.003,14,,,,,,
7,,15,,397.05316162109375,0.19402889907360077,458.729248046875,0.19760443270206451,217.23257446289062
7,,15,184.28074645996094,,,,,
,0.003,16,,,,,,
8,,17,,384.51666259765625,0.19648975133895874,467.6234436035156,0.17677833139896393,191.17579650878906
8,,17,174.44142150878906,,,,,
,0.003,18,,,,,,
9,,19,,378.8069152832031,0.19207172095775604,447.9239196777344,0.18054167926311493,196.66961669921875
9,,19,168.5249481201172,,,,,
,0.003,20,,,,,,
10,,21,,389.9678955078125,0.1939546763896942,450.2090148925781,0.19474105536937714,215.87930297851562
10,,21,161.7871856689453,,,,,
,0.003,22,,,,,,
11,,23,,291.15869140625,0.15929573774337769,363.61920166015625,0.14498406648635864,163.1646728515625
11,,23,164.553955078125,,,,,
,0.003,24,,,,,,
12,,25,,302.6894226074219,0.16281133890151978,375.8722229003906,0.151460200548172,171.573974609375
12,,25,155.65985107421875,,,,,
,0.003,26,,,,,,
13,,27,,388.3418884277344,0.19295239448547363,455.5884094238281,0.19762128591537476,222.52093505859375
13,,27,151.3756103515625,,,,,
,0.003,28,,,,,,
14,,29,,342.28424072265625,0.17818690836429596,413.7090148925781,0.17038637399673462,195.2252655029297
14,,29,146.7232666015625,,,,,
,0.003,30,,,,,,
15,,31,,319.7746276855469,0.1676645278930664,390.10784912109375,0.16206590831279755,197.77513122558594
15,,31,145.438232421875,,,,,
,0.003,32,,,,,,
16,,33,,303.34527587890625,0.16229109466075897,374.2903747558594,0.15325742959976196,195.6373748779297
16,,33,143.967041015625,,,,,
,0.003,34,,,,,,
17,,35,,343.8293762207031,0.17813731729984283,411.6217346191406,0.17381970584392548,199.14022827148438
17,,35,138.42510986328125,,,,,
,0.0015,36,,,,,,
18,,37,,339.50299072265625,0.1761072427034378,409.13653564453125,0.1725306361913681,200.20652770996094
18,,37,137.01223754882812,,,,,
,0.0015,38,,,,,,
19,,39,,318.0816650390625,0.16811946034431458,390.6994934082031,0.16208988428115845,193.37391662597656
19,,39,137.06924438476562,,,,,
,0.0015,40,,,,,,
20,,41,,327.7071533203125,0.17082755267620087,400.56982421875,0.167480930685997,201.89218139648438
20,,41,134.73095703125,,,,,
,0.0015,42,,,,,,
21,,43,,325.66131591796875,0.1708623170852661,398.5742492675781,0.16588537395000458,193.59666442871094
21,,43,131.69580078125,,,,,
,0.0015,44,,,,,,
22,,45,,334.48876953125,0.17476674914360046,408.1325378417969,0.17053502798080444,200.03274536132812
22,,45,131.67160034179688,,,,,
,0.0015,46,,,,,,
23,,47,,329.1494445800781,0.1729404181241989,403.4768371582031,0.16774389147758484,196.83453369140625
23,,47,130.7213134765625,,,,,
