Tarih;Saat;Tüketim Miktarı(MWh)
01.01.2021;00:00;29.489,46
01.01.2021;01:00;28.067,11
01.01.2021;02:00;26.527,08
01.01.2021;03:00;25.327,19
01.01.2021;04:00;24.719,72
01.01.2021;05:00;24.627,81
01.01.2021;06:00;24.690,18
01.01.2021;07:00;24.984,26
01.01.2021;08:00;25.185,19
01.01.2021;09:00;26.636,81
01.01.2021;10:00;28.173,24
01.01.2021;11:00;30.048,25
01.01.2021;12:00;30.320,32
01.01.2021;13:00;30.763,12
01.01.2021;14:00;30.831,87
01.01.2021;15:00;30.790,36
01.01.2021;16:00;31.065,97
01.01.2021;17:00;31.995,62
01.01.2021;18:00;33.423,90
01.01.2021;19:00;33.097,48
01.01.2021;20:00;32.280,68
01.01.2021;21:00;31.570,08
01.01.2021;22:00;31.104,80
01.01.2021;23:00;30.253,19
02.01.2021;00:00;28.920,90
02.01.2021;01:00;27.556,06
02.01.2021;02:00;26.417,42
02.01.2021;03:00;25.766,07
02.01.2021;04:00;25.308,89
02.01.2021;05:00;25.330,59
02.01.2021;06:00;25.561,06
02.01.2021;07:00;26.157,74
02.01.2021;08:00;27.390,02
02.01.2021;09:00;29.543,51
02.01.2021;10:00;31.028,41
02.01.2021;11:00;32.440,74
02.01.2021;12:00;32.365,33
02.01.2021;13:00;32.751,64
02.01.2021;14:00;32.910,75
02.01.2021;15:00;32.422,31
02.01.2021;16:00;32.577,28
02.01.2021;17:00;33.402,02
02.01.2021;18:00;35.057,89
02.01.2021;19:00;34.508,97
02.01.2021;20:00;33.498,27
02.01.2021;21:00;32.692,37
02.01.2021;22:00;32.193,34
02.01.2021;23:00;30.844,85
03.01.2021;00:00;29.643,70
03.01.2021;01:00;28.014,07
03.01.2021;02:00;26.909,46
03.01.2021;03:00;26.127,55
03.01.2021;04:00;25.777,39
03.01.2021;05:00;25.666,37
03.01.2021;06:00;25.903,30
03.01.2021;07:00;26.076,19
03.01.2021;08:00;26.327,38
03.01.2021;09:00;27.458,61
03.01.2021;10:00;29.269,48
03.01.2021;11:00;30.910,43
03.01.2021;12:00;31.242,39
03.01.2021;13:00;31.882,81
03.01.2021;14:00;31.944,13
03.01.2021;15:00;31.780,52
03.01.2021;16:00;31.917,02
03.01.2021;17:00;33.168,87
03.01.2021;18:00;34.865,74
03.01.2021;19:00;34.568,47
03.01.2021;20:00;33.845,77
