Datetime,uretim_mwh,tuketim_mwh,fiyat_tl,sicaklik,hissedilen_sicaklik,nem,bulut_ortus,ruzgar_hizi,yagis,saat,haftanin_gunu,ay,is_weekend,is_holiday,is_price_spike,is_price_dip
2021-01-01 00:00:00,29488.11,29489.46,259.39,9.79,6.91,77.41,59.42,13.5,0.01,0,4,1,0,1,0,1
2021-01-01 01:00:00,28065.76,28067.11,234.13,9.88,6.58,75.14,34.92,15.98,0.01,1,4,1,0,1,0,1
2021-01-01 02:00:00,26527.08,26527.08,215.25,9.58,6.37,77.43,37.49,15.81,0.01,2,4,1,0,1,0,1
2021-01-01 03:00:00,25327.19,25327.19,219.24,9.55,6.26,78.35,41.92,16.13,0.01,3,4,1,0,1,0,1
2021-01-01 04:00:00,24719.72,24719.72,209.81,9.32,6.26,79.02,36.95,14.82,0.06,4,4,1,0,1,0,1
2021-01-01 05:00:00,24627.81,24627.81,210.37,8.91,5.98,82.55,39.71,14.2,0.22,5,4,1,0,1,0,1
2021-01-01 06:00:00,24690.18,24690.18,237.74,8.61,5.72,83.38,37.97,13.72,0.28,6,4,1,0,1,0,1
2021-01-01 07:00:00,24979.13,24984.26,224.25,8.55,5.14,82.92,50.51,16.8,0.47,7,4,1,0,1,0,1
2021-01-01 08:00:00,24545.27,25185.19,235.2,8.45,5.07,84.38,73.0,17.02,0.66,8,4,1,0,1,0,1
2021-01-01 09:00:00,24689.39,26636.81,207.76,8.85,5.57,84.63,80.66,16.85,0.7,9,4,1,0,1,0,1
2021-01-01 10:00:00,25197.53,28173.24,231.34,10.15,7.02,80.92,71.57,16.83,0.58,10,4,1,0,1,0,1
2021-01-01 11:00:00,26427.99,30048.25,220.39,10.98,7.82,77.48,65.31,17.42,0.44,11,4,1,0,1,0,1
2021-01-01 12:00:00,26490.39,30320.32,222.43,11.93,8.95,74.23,59.48,15.98,0.34,12,4,1,0,1,0,1
2021-01-01 13:00:00,27171.33,30763.12,243.61,12.68,9.68,70.84,39.67,16.45,0.17,13,4,1,0,1,0,1
2021-01-01 14:00:00,27846.09,30831.87,243.98,13.3,10.37,69.03,24.42,16.65,0.05,14,4,1,0,1,0,1
2021-01-01 15:00:00,28588.31,30790.36,224.87,13.21,10.35,69.85,19.39,16.04,0.01,15,4,1,0,1,0,1
2021-01-01 16:00:00,29903.89,31065.97,291.18,13.24,10.72,69.95,28.14,13.97,0.02,16,4,1,0,1,0,1
2021-01-01 17:00:00,31839.26,31995.62,324.48,11.82,9.66,77.55,29.45,11.62,0.0,17,4,1,0,1,0,0
2021-01-01 18:00:00,33422.51,33423.9,329.47,10.04,8.15,83.77,32.42,9.34,0.0,18,4,1,0,1,0,0
2021-01-01 19:00:00,33096.09,33097.48,330.08,9.77,7.85,83.02,29.1,8.98,0.0,19,4,1,0,1,0,0
