Datetime,Üretim Miktarı (MWh),Tüketim Miktarı(MWh),Ortalama Fiyat (TL/MWh)
2021-01-01 00:00:00,29488.11,29489.46,259.39
2021-01-01 01:00:00,28065.76,28067.11,234.13
2021-01-01 02:00:00,26527.08,26527.08,215.25
2021-01-01 03:00:00,25327.19,25327.19,219.24
2021-01-01 04:00:00,24719.72,24719.72,209.81
2021-01-01 05:00:00,24627.81,24627.81,210.37
2021-01-01 06:00:00,24690.18,24690.18,237.74
2021-01-01 07:00:00,24979.13,24984.26,224.25
2021-01-01 08:00:00,24545.27,25185.19,235.2
2021-01-01 09:00:00,24689.39,26636.81,207.76
2021-01-01 10:00:00,25197.53,28173.24,231.34
2021-01-01 11:00:00,26427.99,30048.25,220.39
2021-01-01 12:00:00,26490.39,30320.32,222.43
2021-01-01 13:00:00,27171.33,30763.12,243.61
2021-01-01 14:00:00,27846.09,30831.87,243.98
2021-01-01 15:00:00,28588.31,30790.36,224.87
2021-01-01 16:00:00,29903.89,31065.97,291.18
2021-01-01 17:00:00,31839.26,31995.62,324.48
2021-01-01 18:00:00,33422.51,33423.9,329.47
2021-01-01 19:00:00,33096.09,33097.48,330.08
2021-01-01 20:00:00,32279.29,32280.68,331.95
2021-01-01 21:00:00,31568.73,31570.08,329.15
2021-01-01 22:00:00,31103.45,31104.8,324.8
2021-01-01 23:00:00,30251.84,30253.19,319.23
2021-01-02 00:00:00,28919.55,28920.9,312.92
2021-01-02 01:00:00,27554.81,27556.06,301.24
2021-01-02 02:00:00,26416.17,26417.42,250.21
2021-01-02 03:00:00,25764.82,25766.07,240.06
2021-01-02 04:00:00,25308.89,25308.89,233.71
2021-01-02 05:00:00,25330.59,25330.59,249.08
2021-01-02 06:00:00,25561.06,25561.06,248.52
2021-01-02 07:00:00,26154.53,26157.74,260.49
2021-01-02 08:00:00,26849.26,27390.02,281.75
2021-01-02 09:00:00,27651.93,29543.51,284.74
2021-01-02 10:00:00,28279.86,31028.41,269.32
2021-01-02 11:00:00,28986.02,32440.74,266.36
2021-01-02 12:00:00,28600.45,32365.33,257.67
2021-01-02 13:00:00,29031.47,32751.64,292.07
2021-01-02 14:00:00,29628.82,32910.75,301.28
2021-01-02 15:00:00,29947.87,32422.31,305.04
2021-01-02 16:00:00,31172.84,32577.28,311.14
2021-01-02 17:00:00,33200.84,33402.02,322.46
2021-01-02 18:00:00,35056.56,35057.89,327.88
2021-01-02 19:00:00,34507.64,34508.97,322.38
2021-01-02 20:00:00,33496.94,33498.27,317.86
2021-01-02 21:00:00,32691.04,32692.37,313.19
2021-01-02 22:00:00,32192.01,32193.34,311.07
2021-01-02 23:00:00,30843.52,30844.85,306.5
2021-01-03 00:00:00,29642.36,29643.7,311.48
2021-01-03 01:00:00,28012.73,28014.07,311.47
2021-01-03 02:00:00,26908.12,26909.46,303.4
2021-01-03 03:00:00,26127.55,26127.55,261.97
2021-01-03 04:00:00,25777.39,25777.39,243.81
2021-01-03 05:00:00,25666.37,25666.37,231.81
2021-01-03 06:00:00,25903.3,25903.3,228.04
2021-01-03 07:00:00,26066.17,26076.19,233.57
2021-01-03 08:00:00,25705.75,26327.38,254.77
2021-01-03 09:00:00,25728.8,27458.61,240.43
2021-01-03 10:00:00,26450.16,29269.48,258.22
2021-01-03 11:00:00,27448.08,30910.43,244.84
2021-01-03 12:00:00,27486.84,31242.39,272.13
2021-01-03 13:00:00,28237.81,31882.81,264.28
2021-01-03 14:00:00,28813.02,31944.13,253.8
2021-01-03 15:00:00,29491.1,31780.52,304.53
2021-01-03 16:00:00,30716.67,31917.02,312.13
2021-01-03 17:00:00,33024.75,33168.87,325.04
2021-01-03 18:00:00,34864.4,34865.74,334.11
2021-01-03 19:00:00,34567.13,34568.47,335.37
2021-01-03 20:00:00,33844.43,33845.77,332.8
2021-01-03 21:00:00,33125.46,33126.8,328.69
2021-01-03 22:00:00,32577.58,32578.92,325.52
2021-01-03 23:00:00,31553.89,31555.23,320.57
2021-01-04 00:00:00,30080.8,30082.14,308.3
2021-01-04 01:00:00,28724.24,28725.58,272.11
2021-01-04 02:00:00,27621.07,27621.07,260.99
2021-01-04 03:00:00,26841.18,26841.18,248.07
2021-01-04 04:00:00,26790.06,26790.06,226.87
2021-01-04 05:00:00,27239.88,27239.88,226.68
2021-01-04 06:00:00,28083.55,28083.55,265.39
2021-01-04 07:00:00,30539.59,30545.31,300.91
2021-01-04 08:00:00,34960.23,35654.86,319.42
2021-01-04 09:00:00,37438.21,39581.69,335.56
2021-01-04 10:00:00,37838.97,40907.19,327.46
2021-01-04 11:00:00,37682.96,41460.14,323.02
2021-01-04 12:00:00,36026.99,40097.06,304.37
2021-01-04 13:00:00,36627.16,40575.33,314.29
2021-01-04 14:00:00,37663.34,41083.27,320.17
2021-01-04 15:00:00,37480.56,39993.15,320.48
2021-01-04 16:00:00,38733.91,40136.33,323.33
2021-01-04 17:00:00,40429.81,40609.69,328.78
2021-01-04 18:00:00,40540.86,40540.86,322.9
2021-01-04 19:00:00,39435.14,39435.14,313.18
2021-01-04 20:00:00,38096.68,38096.68,314.98
2021-01-04 21:00:00,37212.99,37212.99,309.66
2021-01-04 22:00:00,36569.89,36569.89,266.66
2021-01-04 23:00:00,35275.63,35275.63,251.28
2021-01-05 00:00:00,33464.48,33465.78,277.5
2021-01-05 01:00:00,31757.71,31759.01,218.53
2021-01-05 02:00:00,30504.4,30504.4,227.4
2021-01-05 03:00:00,29711.33,29711.33,227.29
2021-01-05 04:00:00,29417.16,29417.16,223.64
2021-01-05 05:00:00,29745.38,29745.38,225.72
2021-01-05 06:00:00,30331.25,30331.25,230.66
2021-01-05 07:00:00,32118.56,32123.94,260.2
2021-01-05 08:00:00,35776.0,36316.0,307.03
2021-01-05 09:00:00,38285.43,39952.79,309.16
2021-01-05 10:00:00,39041.39,41431.74,309.68
2021-01-05 11:00:00,39061.84,41988.95,307.92
2021-01-05 12:00:00,37716.88,40815.74,262.19
2021-01-05 13:00:00,38154.82,41144.33,277.98
2021-01-05 14:00:00,38908.71,41450.56,308.98
2021-01-05 15:00:00,38852.89,40735.72,312.09
2021-01-05 16:00:00,39423.48,40453.89,312.78
2021-01-05 17:00:00,40668.99,40885.22,318.16
2021-01-05 18:00:00,40952.58,40953.92,321.38
2021-01-05 19:00:00,39756.96,39758.3,312.07
2021-01-05 20:00:00,38355.2,38356.54,305.57
2021-01-05 21:00:00,37537.24,37538.58,297.22
2021-01-05 22:00:00,36987.93,36989.27,286.39
2021-01-05 23:00:00,35527.05,35528.39,259.65
2021-01-06 00:00:00,33557.48,33558.82,295.5
2021-01-06 01:00:00,31847.26,31848.6,304.3
2021-01-06 02:00:00,30783.52,30784.86,261.81
2021-01-06 03:00:00,30035.21,30036.55,247.89
2021-01-06 04:00:00,29857.75,29857.75,239.91
2021-01-06 05:00:00,30199.68,30199.68,247.96
2021-01-06 06:00:00,30887.28,30887.28,269.54
2021-01-06 07:00:00,32663.53,32679.46,324.59
2021-01-06 08:00:00,36538.54,37207.99,326.02
2021-01-06 09:00:00,38866.07,40845.46,328.01
2021-01-06 10:00:00,39304.3,42270.23,317.85
2021-01-06 11:00:00,39281.74,42914.25,318.94
2021-01-06 12:00:00,37524.52,41391.36,310.86
2021-01-06 13:00:00,37888.95,41617.32,314.52
2021-01-06 14:00:00,38473.3,41686.18,317.65
2021-01-06 15:00:00,38593.96,40938.7,319.93
2021-01-06 16:00:00,39512.8,40752.47,320.77
2021-01-06 17:00:00,40856.51,41031.13,324.33
2021-01-06 18:00:00,41216.15,41217.49,324.87
2021-01-06 19:00:00,40216.26,40217.6,319.08
2021-01-06 20:00:00,38767.58,38768.92,316.49
2021-01-06 21:00:00,38155.13,38156.47,315.72
2021-01-06 22:00:00,37434.81,37436.15,308.42
2021-01-06 23:00:00,36069.69,36071.03,263.69
2021-01-07 00:00:00,34097.04,34098.38,286.48
2021-01-07 01:00:00,32306.84,32308.18,281.16
2021-01-07 02:00:00,31151.19,31151.19,248.29
2021-01-07 03:00:00,30336.4,30336.4,237.04
2021-01-07 04:00:00,30239.82,30239.82,230.54
2021-01-07 05:00:00,30285.75,30285.75,225.63
2021-01-07 06:00:00,31161.24,31161.24,239.19
2021-01-07 07:00:00,32883.62,32892.48,262.58
2021-01-07 08:00:00,36720.28,37276.17,309.77
2021-01-07 09:00:00,38732.54,40690.65,305.99
2021-01-07 10:00:00,38849.81,41973.23,302.29
2021-01-07 11:00:00,38620.65,42487.19,308.51
2021-01-07 12:00:00,36884.42,41131.52,260.81
2021-01-07 13:00:00,37317.5,41510.47,263.33
2021-01-07 14:00:00,38116.8,41825.12,299.91
2021-01-07 15:00:00,38269.14,41040.74,302.32
2021-01-07 16:00:00,39462.93,40997.11,300.61
2021-01-07 17:00:00,41154.45,41359.78,311.06
2021-01-07 18:00:00,41506.88,41508.22,318.53
2021-01-07 19:00:00,40247.41,40248.75,317.14
2021-01-07 20:00:00,38968.47,38969.81,320.26
2021-01-07 21:00:00,38015.42,38016.76,318.41
2021-01-07 22:00:00,37437.86,37439.2,317.61
2021-01-07 23:00:00,36240.25,36241.59,266.44
2021-01-08 00:00:00,34124.82,34126.16,310.68
2021-01-08 01:00:00,32350.3,32351.64,253.69
2021-01-08 02:00:00,31140.53,31140.53,253.23
2021-01-08 03:00:00,30302.51,30302.51,243.05
2021-01-08 04:00:00,30075.62,30075.62,232.11
2021-01-08 05:00:00,30347.68,30347.68,231.89
2021-01-08 06:00:00,31101.79,31101.79,232.12
2021-01-08 07:00:00,32970.05,32975.35,251.49
2021-01-08 08:00:00,36699.59,37185.37,318.72
2021-01-08 09:00:00,38823.5,40458.96,320.03
2021-01-08 10:00:00,39149.4,41592.27,311.74
2021-01-08 11:00:00,38923.38,42005.09,304.55
2021-01-08 12:00:00,37050.84,40496.14,298.2
2021-01-08 13:00:00,36389.59,39859.36,292.23
2021-01-08 14:00:00,37902.92,40986.25,310.05
2021-01-08 15:00:00,38027.25,40387.62,307.56
2021-01-08 16:00:00,38921.94,40288.81,304.66
2021-01-08 17:00:00,40187.63,40471.04,314.85
2021-01-08 18:00:00,40531.96,40533.3,319.22
2021-01-08 19:00:00,39518.01,39519.35,318.11
2021-01-08 20:00:00,38407.53,38408.87,318.92
2021-01-08 21:00:00,37628.63,37629.97,315.22
2021-01-08 22:00:00,36883.46,36884.8,292.89
2021-01-08 23:00:00,35843.74,35845.08,245.82
2021-01-09 00:00:00,34178.28,34179.62,298.58
2021-01-09 01:00:00,32538.78,32540.12,249.13
2021-01-09 02:00:00,31207.36,31207.36,240.02
2021-01-09 03:00:00,30300.31,30300.31,230.25
2021-01-09 04:00:00,29733.83,29733.83,228.02
2021-01-09 05:00:00,29862.21,29862.21,226.53
2021-01-09 06:00:00,30043.88,30043.88,225.9
2021-01-09 07:00:00,30746.28,30751.12,231.3
2021-01-09 08:00:00,31916.68,32581.69,247.91
2021-01-09 09:00:00,32891.06,34678.94,251.71
2021-01-09 10:00:00,33637.88,36166.38,253.53
2021-01-09 11:00:00,34389.59,37487.93,226.63
2021-01-09 12:00:00,33882.31,37211.8,229.13
