Tarih;Saat;Toplam
1.07.2023;00:00;29093,35
1.07.2023;01:00;27569,05
1.07.2023;02:00;26164,9
1.07.2023;03:00;25369,74
1.07.2023;04:00;24958,43
1.07.2023;05:00;23574,01
1.07.2023;06:00;22537,71
1.07.2023;07:00;22050,6
1.07.2023;08:00;21859
1.07.2023;09:00;22089,48
1.07.2023;10:00;22623,37
1.07.2023;11:00;23060,1
1.07.2023;12:00;23308,86
1.07.2023;13:00;23606,83
1.07.2023;14:00;24471,76
1.07.2023;15:00;24829,49
1.07.2023;16:00;26348,73
1.07.2023;17:00;28264,75
1.07.2023;18:00;30096,28
1.07.2023;19:00;32022,98
1.07.2023;20:00;33599,45
1.07.2023;21:00;34059,46
1.07.2023;22:00;32945,67
1.07.2023;23:00;31878,86
2.07.2023;00:00;30134,34
2.07.2023;01:00;28729,58
2.07.2023;02:00;27413,72
2.07.2023;03:00;26641,3
2.07.2023;04:00;26136,1
2.07.2023;05:00;24752,28
2.07.2023;06:00;23342,8
2.07.2023;07:00;23295,04
2.07.2023;08:00;23477,47
2.07.2023;09:00;24001,54
2.07.2023;10:00;24771,83
2.07.2023;11:00;25248,72
2.07.2023;12:00;25251,37
2.07.2023;13:00;25956,15
2.07.2023;14:00;26829,31
2.07.2023;15:00;27756,86
2.07.2023;16:00;29226,9
2.07.2023;17:00;31066,48
2.07.2023;18:00;33002,6
2.07.2023;19:00;34626,49
2.07.2023;20:00;36386,65
2.07.2023;21:00;37062,63
2.07.2023;22:00;36149,74
2.07.2023;23:00;35082,22
3.07.2023;00:00;33208,19
3.07.2023;01:00;31749,24
3.07.2023;02:00;30340,7
3.07.2023;03:00;29402,76
3.07.2023;04:00;29020,89
3.07.2023;05:00;27930,53
3.07.2023;06:00;27490,99
3.07.2023;07:00;28920,28
3.07.2023;08:00;33280,76
3.07.2023;09:00;35557,08
3.07.2023;10:00;36546,5
3.07.2023;11:00;37359,58
3.07.2023;12:00;36423,05
3.07.2023;13:00;37787,7
3.07.2023;14:00;39456,89
3.07.2023;15:00;39966,25
3.07.2023;16:00;41229,11
3.07.2023;17:00;41915,98
3.07.2023;18:00;41791,86
3.07.2023;19:00;42018,26
3.07.2023;20:00;43235,1
3.07.2023;21:00;43398,63
3.07.2023;22:00;42136,74
3.07.2023;23:00;40637
4.07.2023;00:00;38304,52
4.07.2023;01:00;36490,15
4.07.2023;02:00;34937,37
4.07.2023;03:00;33853,53
4.07.2023;04:00;33472,06
4.07.2023;05:00;32381,72
4.07.2023;06:00;31772,46
4.07.2023;07:00;32799,87
4.07.2023;08:00;36784,63
4.07.2023;09:00;38666,25
4.07.2023;10:00;38756,61
4.07.2023;11:00;39259,07
4.07.2023;12:00;37933,2
4.07.2023;13:00;39330,56
4.07.2023;14:00;41011,94
4.07.2023;15:00;41434,68
4.07.2023;16:00;42178,19
4.07.2023;17:00;42859,24
4.07.2023;18:00;42798,61
4.07.2023;19:00;43030,29
4.07.2023;20:00;44110,78
4.07.2023;21:00;44504,65
4.07.2023;22:00;43309,15
4.07.2023;23:00;41260,87
5.07.2023;00:00;39495,01
5.07.2023;01:00;37710,93
5.07.2023;02:00;36145,4
5.07.2023;03:00;35207,69
5.07.2023;04:00;34426,97
5.07.2023;05:00;33435,05
5.07.2023;06:00;32611,56
5.07.2023;07:00;33511,73
5.07.2023;08:00;37605,7
5.07.2023;09:00;39190,95
5.07.2023;10:00;39553,16
5.07.2023;11:00;40019,7
5.07.2023;12:00;38918,2
5.07.2023;13:00;39450,29
5.07.2023;14:00;41576,34
5.07.2023;15:00;42203,96
5.07.2023;16:00;43268,03
5.07.2023;17:00;44011,44
5.07.2023;18:00;43844,03
5.07.2023;19:00;43971,55
5.07.2023;20:00;45167,07
5.07.2023;21:00;45242,68
5.07.2023;22:00;43783,59
5.07.2023;23:00;41125,85
6.07.2023;00:00;39970,6
6.07.2023;01:00;38153,42
6.07.2023;02:00;36745,76
6.07.2023;03:00;35655,88
6.07.2023;04:00;34885,31
6.07.2023;05:00;33530,86
6.07.2023;06:00;33082,25
6.07.2023;07:00;34231,27
6.07.2023;08:00;38640,16
6.07.2023;09:00;40462,97
6.07.2023;10:00;40165,46
6.07.2023;11:00;41319,02
6.07.2023;12:00;40193,63
6.07.2023;13:00;41403,73
6.07.2023;14:00;43053,14
6.07.2023;15:00;44005,93
6.07.2023;16:00;44017,82
6.07.2023;17:00;45104,24
6.07.2023;18:00;44493,73
6.07.2023;19:00;44381,48
6.07.2023;20:00;45516,28
6.07.2023;21:00;45562,42
6.07.2023;22:00;44371,04
6.07.2023;23:00;42071,99
7.07.2023;00:00;40377,11
7.07.2023;01:00;38548,81
7.07.2023;02:00;37127,14
7.07.2023;03:00;35887,24
7.07.2023;04:00;35228,05
7.07.2023;05:00;33677,92
7.07.2023;06:00;33414,75
7.07.2023;07:00;34564,31
7.07.2023;08:00;38600,84
7.07.2023;09:00;40582,83
7.07.2023;10:00;40560,12
7.07.2023;11:00;41835,58
7.07.2023;12:00;40109,39
7.07.2023;13:00;39986,68
7.07.2023;14:00;43166,05
7.07.2023;15:00;43171,67
7.07.2023;16:00;44595,78
7.07.2023;17:00;44682,54
7.07.2023;18:00;44092,84
7.07.2023;19:00;44010,29
7.07.2023;20:00;45214,26
7.07.2023;21:00;45482,54
7.07.2023;22:00;44086,27
7.07.2023;23:00;41941,52
8.07.2023;00:00;40424,65
8.07.2023;01:00;38709,49
8.07.2023;02:00;37248,63
8.07.2023;03:00;36109,58
8.07.2023;04:00;35411,69
8.07.2023;05:00;33970,53
8.07.2023;06:00;32910,14
8.07.2023;07:00;33175,23
8.07.2023;08:00;35512,15
8.07.2023;09:00;36638,07
8.07.2023;10:00;37315,3
8.07.2023;11:00;38046,06
8.07.2023;12:00;37530,3
8.07.2023;13:00;39023,05
8.07.2023;14:00;39310,17
8.07.2023;15:00;39266,02
8.07.2023;16:00;39491,01
8.07.2023;17:00;40382,37
8.07.2023;18:00;40903,48
8.07.2023;19:00;41348,06
8.07.2023;20:00;42766,74
8.07.2023;21:00;42663,35
8.07.2023;22:00;41352,75
8.07.2023;23:00;39262,61
9.07.2023;00:00;37368,8
9.07.2023;01:00;35861,7
9.07.2023;02:00;34358,07
9.07.2023;03:00;33221,79
9.07.2023;04:00;32457,13
9.07.2023;05:00;30990,15
9.07.2023;06:00;29468,27
9.07.2023;07:00;29107,1
9.07.2023;08:00;29151,92
9.07.2023;09:00;29571,93
9.07.2023;10:00;30080,39
9.07.2023;11:00;30862,41
9.07.2023;12:00;30520,46
9.07.2023;13:00;31143,04
9.07.2023;14:00;31697,51
9.07.2023;15:00;32136,04
9.07.2023;16:00;32948,52
9.07.2023;17:00;34234,04
9.07.2023;18:00;35726,52
